X,Y,distance,id,wys,height
707274.38948343624,5714242.3844585763,1185.829947000023400,1179,"5,265818929",5.266
707275.2451626698,5714241.8558447212,1186.835740000023400,1180,"5,265818929",5.266
707276.10084190336,5714241.3272308651,1187.841533000023400,1181,"5,252653325",5.253
707276.95652113715,5714240.7986170109,1188.847326000023500,1182,"5,239487721",5.239
707277.81220037071,5714240.2700031549,1189.853119000023500,1183,"5,232904919",5.233
707278.66787960439,5714239.7413892997,1190.858912000023600,1184,"5,232904919",5.233
707279.52355883794,5714239.2127754446,1191.864705000023600,1185,"5,232904919",5.233
707280.37923807162,5714238.6841615885,1192.870498000023600,1186,"5,219739314",5.220
707281.23491730529,5714238.1555477343,1193.876291000023700,1187,"5,219739314",5.220
707282.09059653885,5714237.6269338783,1194.882084000023700,1188,"5,213156512",5.213
707282.94627577253,5714237.0983200232,1195.887877000023800,1189,"5,20657371",5.207
707283.80195500609,5714236.569706168,1196.893670000023800,1190,"5,20657371",5.207
707284.65763423976,5714236.0410923138,1197.899463000023800,1191,"5,199990908",5.200
707285.51331347332,5714235.5124784578,1198.905256000023900,1192,"5,199990908",5.200
707286.36899270699,5714234.9838646017,1199.911049000023900,1193,"5,193408106",5.193
707287.22467194055,5714234.4552507475,1200.916842000024000,1194,"5,186825304",5.187
707288.08035117423,5714233.9266368914,1201.922635000024000,1195,"5,180242502",5.180
707288.9360304079,5714233.3980230363,1202.928428000024000,1196,"5,167076897",5.167
707289.79170964146,5714232.8694091812,1203.934221000024100,1197,"5,167076897",5.167
707290.64738887502,5714232.3407953251,1204.940014000024100,1198,"5,160494095",5.160
707291.50306810869,5714231.8121814709,1205.945807000024200,1199,"5,160494095",5.160
707292.35874734237,5714231.2835676149,1206.951600000024200,1200,"5,153911293",5.154
707293.21442657593,5714230.7549537597,1207.957393000024200,1201,"5,153911293",5.154
707294.0701058096,5714230.2263399046,1208.963186000024300,1202,"5,147328491",5.147
707294.92578504316,5714229.6977260495,1209.968979000024300,1203,"5,140745689",5.141
707295.78146427684,5714229.1691121943,1210.974772000024400,1204,"5,127580085",5.128
707296.63714351051,5714228.6404983383,1211.980565000024400,1205,"5,127580085",5.128
707297.49282274419,5714228.1118844841,1212.986358000024400,1206,"5,120997283",5.121
707298.34850197774,5714227.583270628,1213.992151000024500,1207,"5,120997283",5.121
707299.2041812113,5714227.0546567738,1214.997944000024500,1208,"5,114414481",5.114
707300.05986044498,5714226.5260429177,1216.003737000024600,1209,"5,107831678",5.108
707300.91553967854,5714225.9974290626,1217.009530000024600,1210,"5,107831678",5.108
707301.77121891221,5714225.4688152075,1218.015323000024600,1211,"5,101248876",5.101
707302.62689814577,5714224.9402013524,1219.021116000024700,1212,"5,094666074",5.095
707303.48257737956,5714224.4115874972,1220.026909000024700,1213,"5,088083272",5.088
707304.33825661312,5714223.8829736412,1221.032702000024800,1214,"5,088083272",5.088
707305.19393584668,5714223.354359786,1222.038495000024800,1215,"5,074917668",5.075
707306.04961508035,5714222.8257459309,1223.044288000024800,1216,"5,068334866",5.068
707306.90529431391,5714222.2971320758,1224.050081000024900,1217,"5,061752064",5.062
707307.76097354759,5714221.7685182206,1225.055874000024900,1218,"5,061752064",5.062
707308.61665278126,5714221.2399043646,1226.061667000025000,1219,"5,061752064",5.062
707309.47233201482,5714220.7112905094,1227.067460000025000,1220,"5,055169261",5.055
707310.32801124849,5714220.1826766543,1228.073253000025000,1221,"5,055169261",5.055
707311.18369048205,5714219.6540627992,1229.079046000025100,1222,"5,055169261",5.055
707312.03936971573,5714219.125448944,1230.084839000025100,1223,"5,048586459",5.049
707312.8950489494,5714218.596835088,1231.090632000025200,1224,"5,035420855",5.035
707313.75072818296,5714218.0682212329,1232.096425000025200,1225,"5,035420855",5.035
707314.62115875422,5714217.5646773539,1233.102218000025200,1226,"5,022255251",5.022
707315.4988026463,5714217.0733925505,1234.108011000025300,1227,"5,022255251",5.022
707316.37644653849,5714216.5821077479,1235.113804000025300,1228,"5,022255251",5.022
707317.25409043056,5714216.0908229453,1236.119597000025400,1229,"5,015672449",5.016
707318.13173432276,5714215.5995381437,1237.125390000025400,1230,"5,015672449",5.016
707319.00937821483,5714215.1082533402,1238.131183000025400,1231,"5,002506844",5.003
707319.88702210691,5714214.6169685367,1239.136976000025500,1232,"5,002506844",5.003
707320.7646659991,5714214.1256837342,1240.142769000025500,1233,"4,98934124",4.989
707321.64230989106,5714213.6343989316,1241.148562000025500,1234,"4,982758438",4.983
707322.51995378337,5714213.1431141291,1242.154355000025600,1235,"4,982758438",4.983
707323.39759767544,5714212.6518293265,1243.160148000025600,1236,"4,969592834",4.970
707324.27524156752,5714212.1605445221,1244.165941000025700,1237,"4,969592834",4.970
707325.15288545971,5714211.6692597196,1245.171734000025700,1238,"4,963010032",4.963
707326.03052935179,5714211.177974917,1246.177527000025700,1239,"4,949844428",4.950
707326.90817324398,5714210.6866901144,1247.183320000025800,1240,"4,949844428",4.950
707327.78581713606,5714210.1954053119,1248.189113000025800,1241,"4,943261625",4.943
707328.66346102813,5714209.7041205093,1249.194906000025900,1242,"4,943261625",4.943
707329.54110492021,5714209.2128357068,1250.200699000025900,1243,"4,930096021",4.930
707330.4187488124,5714208.7215509033,1251.206492000025900,1244,"4,923513219",4.924
707331.29639270459,5714208.2302660998,1252.212285000026000,1245,"4,923513219",4.924
707332.17403659667,5714207.7389812972,1253.218078000026000,1246,"4,910347615",4.910
707333.05168048874,5714207.2476964947,1254.223871000026100,1247,"4,910347615",4.910
707333.92932438094,5714206.7564116921,1255.229664000026100,1248,"4,903764813",4.904
707334.84296462964,5714206.3372583007,1256.235457000026100,1249,"4,897182011",4.897
707335.76320456865,5714205.9313297188,1257.241250000026200,1250,"4,897182011",4.897
707336.68344450765,5714205.5254011368,1258.247043000026200,1251,"4,890599208",4.891
707337.60368444666,5714205.1194725558,1259.252836000026300,1252,"4,877433604",4.877
707338.52392438555,5714204.7135439729,1260.258629000026300,1253,"4,870850802",4.871
707339.44416432455,5714204.307615391,1261.264422000026300,1254,"4,870850802",4.871
707340.36440426356,5714203.901686809,1262.270215000026400,1255,"4,864268",4.864
707341.28464420256,5714203.4957582271,1263.276008000026400,1256,"4,864268",4.864
707342.20488414168,5714203.0898296461,1264.281801000026500,1257,"4,864268",4.864
707343.12512408057,5714202.6839010641,1265.287594000026500,1258,"4,857685198",4.858
707344.04536401946,5714202.2779724821,1266.293387000026500,1259,"4,857685198",4.858
707344.96560395858,5714201.8720439002,1267.299180000026600,1260,"4,851102396",4.851
707345.88584389747,5714201.4661153182,1268.304973000026600,1261,"4,844519594",4.845
707346.80608383648,5714201.0601867363,1269.310766000026700,1262,"4,844519594",4.845
707347.72632377548,5714200.6542581543,1270.316559000026700,1263,"4,837936791",4.838
707348.64656371449,5714200.2483295733,1271.322352000026700,1264,"4,831353989",4.831
707349.56680365349,5714199.8424009914,1272.328145000026800,1265,"4,824771187",4.825
707350.48704359238,5714199.4364724094,1273.333938000026800,1266,"4,818188385",4.818
707351.40728353139,5714199.0305438284,1274.339731000026900,1267,"4,805022781",4.805
707352.32752347039,5714198.6246152455,1275.345524000026900,1268,"4,805022781",4.805
707353.2477634094,5714198.2186866635,1276.351317000026900,1269,"4,791857177",4.792
707354.17974660126,5714197.8407797664,1277.357110000027000,1270,"4,785274375",4.785
707355.11444281426,5714197.4693466658,1278.362903000027000,1271,"4,785274375",4.785
707356.04913902725,5714197.097913566,1279.368696000027100,1272,"4,785274375",4.785
707356.98383524024,5714196.7264804654,1280.374489000027100,1273,"4,77210877",4.772
707357.91853145324,5714196.3550473647,1281.380282000027100,1274,"4,77210877",4.772
707358.85322766623,5714195.9836142641,1282.386075000027200,1275,"4,77210877",4.772
707359.78792387922,5714195.6121811634,1283.391868000027200,1276,"4,77210877",4.772
707360.72262009233,5714195.2407480627,1284.397661000027300,1277,"4,77210877",4.772
707361.65731630521,5714194.8693149621,1285.403454000027300,1278,"4,77210877",4.772
707362.59201251832,5714194.4978818614,1286.409247000027300,1279,"4,77210877",4.772
707363.52670873119,5714194.1264487607,1287.415040000027400,1280,"4,77210877",4.772
707364.4614049443,5714193.7550156601,1288.420833000027400,1281,"4,758943166",4.759
707365.39610115741,5714193.3835825594,1289.426626000027500,1282,"4,752360364",4.752
707366.33079737029,5714193.0121494588,1290.432419000027500,1283,"4,752360364",4.752
707367.2654935834,5714192.640716359,1291.438212000027500,1284,"4,745777562",4.746
707368.20018979628,5714192.2692832574,1292.444005000027600,1285,"4,73919476",4.739
707369.13488600939,5714191.8978501577,1293.449798000027600,1286,"4,726029155",4.726
707370.06958222238,5714191.526417057,1294.455591000027700,1287,"4,712863551",4.713
707371.00427843537,5714191.1549839564,1295.461384000027700,1288,"4,712863551",4.713
707371.93897464836,5714190.7835508548,1296.467177000027700,1289,"4,706280749",4.706
707372.87367086136,5714190.4121177541,1297.472970000027800,1290,"4,706280749",4.706
707373.80836707447,5714190.0406846544,1298.478763000027800,1291,"4,699697947",4.700
707374.74306328746,5714189.6692515537,1299.484556000027900,1292,"4,699697947",4.700
707375.67775950045,5714189.2978184531,1300.490349000027900,1293,"4,693115145",4.693
707376.61632831767,5714188.9368717084,1301.496142000027900,1294,"4,693115145",4.693
707377.5680861451,5714188.6116385655,1302.501935000028000,1295,"4,679949541",4.680
707378.51984397252,5714188.2864054237,1303.507728000028000,1296,"4,679949541",4.680
707379.47160179983,5714187.9611722808,1304.513521000028000,1297,"4,673366738",4.673
707380.42335962725,5714187.635939138,1305.519314000028100,1298,"4,673366738",4.673
707381.37511745456,5714187.3107059961,1306.525107000028100,1299,"4,660201134",4.660
707382.32687528187,5714186.9854728542,1307.530900000028200,1300,"4,660201134",4.660
707383.27863310929,5714186.6602397114,1308.536693000028200,1301,"4,660201134",4.660
707384.23039093672,5714186.3350065686,1309.542486000028200,1302,"4,64703553",4.647
707385.18214876403,5714186.0097734267,1310.548279000028300,1303,"4,640452728",4.640
707386.13390659145,5714185.6845402848,1311.554072000028300,1304,"4,627287124",4.627
707387.08566441876,5714185.359307142,1312.559865000028400,1305,"4,627287124",4.627
707388.03742224618,5714185.034074,1313.565658000028400,1306,"4,620704322",4.621
707388.98918007349,5714184.7088408573,1314.571451000028400,1307,"4,620704322",4.621
707389.94093790092,5714184.3836077144,1315.577244000028500,1308,"4,607538717",4.608
707390.89269572822,5714184.0583745725,1316.583037000028500,1309,"4,600955915",4.601
707391.84445355565,5714183.7331414297,1317.588830000028600,1310,"4,594373113",4.594
707392.79621138307,5714183.4079082888,1318.594623000028600,1311,"4,581207509",4.581
707393.74796921038,5714183.082675145,1319.600416000028600,1312,"4,574624707",4.575
707394.69972703769,5714182.7574420031,1320.606209000028700,1313,"4,568041905",4.568
707395.65148486511,5714182.4322088603,1321.612002000028700,1314,"4,568041905",4.568
707396.60324269254,5714182.1069757184,1322.617795000028800,1315,"4,5548763",4.555
707397.55500051985,5714181.7817425765,1323.623588000028800,1316,"4,548293498",4.548
707398.50675834715,5714181.4565094337,1324.629381000028800,1317,"4,541710696",4.542
707399.45851617458,5714181.1312762909,1325.635174000028900,1318,"4,535127894",4.535
707400.410274002,5714180.806043148,1326.640967000028900,1319,"4,528545092",4.529
707401.36203182931,5714180.4808100071,1327.646760000029000,1320,"4,52196229",4.522
707402.31378965662,5714180.1555768643,1328.652553000029000,1321,"4,515379488",4.515
707403.26554748404,5714179.8303437224,1329.658346000029000,1322,"4,515379488",4.515
707404.21730531147,5714179.5051105795,1330.664139000029100,1323,"4,508796685",4.509
707405.16906313878,5714179.1798774367,1331.669932000029100,1324,"4,502213883",4.502
707406.1208209662,5714178.8546442948,1332.675725000029200,1325,"4,495631081",4.496
707407.07257879351,5714178.529411152,1333.681518000029200,1326,"4,489048279",4.489
707408.02433662093,5714178.2041780092,1334.687311000029200,1327,"4,482465477",4.482
707408.97609444824,5714177.8789448682,1335.693104000029300,1328,"4,475882675",4.476
707409.92785227566,5714177.5537117254,1336.698897000029300,1329,"4,469299873",4.469
707410.87961010309,5714177.2284785826,1337.704690000029400,1330,"4,456134269",4.456
707411.8313679304,5714176.9032454398,1338.710483000029400,1331,"4,456134269",4.456
707412.78312575771,5714176.5780122988,1339.716276000029400,1332,"4,456134269",4.456
707413.73488358513,5714176.252779156,1340.722069000029500,1333,"4,449551466",4.450
707414.68664141244,5714175.9275460131,1341.727862000029500,1334,"4,449551466",4.450
707415.62428101164,5714175.5663619777,1342.733655000029600,1335,"4,449551466",4.450
707416.54301512195,5714175.1570366872,1343.739448000029600,1336,"4,442968664",4.443
707417.46174923214,5714174.7477113958,1344.745241000029600,1337,"4,442968664",4.443
